"","SRR8207876","SRR8207877","SRR8207878","SRR8207879","SRR8207880","SRR8207881","SRR8207882","SRR8207883","SRR8207884","SRR8207885","SRR8207886","SRR8207887","SRR8207888","SRR8207889","SRR8207890"
"WWC3",8.9075490459085,9.44473439810808,9.28512939339561,8.958733794207,9.66111152944001,10.0947406382995,9.73527589376268,10.6030236363067,10.0150220293456,10.8293447340415,11.4302924705691,11.127694994983,10.7580809834256,10.1228539684562,10.9380009824995
"PLXNA2",6.4777072423923,5.68558140046396,5.51583038685867,7.29154637412734,6.70969857324613,7.69505263491329,8.18697565208153,8.3522910100144,7.5228033062795,8.364547176035,8.16664677365987,7.72283528767998,8.00584964600864,7.39058702746271,8.02792513864682
"TNRC6C",8.26518118202606,8.86329482461315,9.27337974700418,9.14062822638781,8.17171683614098,10.1894065926043,10.0722333413771,9.64179736849139,8.641461942719,10.2716909772187,10.6406898048074,11.2708258796804,11.1014783592609,11.1078144779147,11.125936447071
"AK1",4.3696943220774,3.24053827812802,4.54733709600092,3.94320779990811,4.14812140573145,5.24217379095828,5.47066461478277,6.57970789426575,4.01211438359104,5.97985180552986,6.64981052144327,6.7548923581363,5.74502995009636,7.58314768378398,7.1368460553578
"PARD3B",4.00202933566908,3.24053827812802,4.24509184806842,4.54161333588751,4.50622755183845,6.36535854052824,7.02603664202461,5.23501121757071,4.52413948972513,4.3980025745824,4.34138524805669,4.29326124815489,5.36686434563999,4.71258742919594,4.5757460793164
"UBN1",9.25351958519443,8.82977112493698,9.42476050632444,9.18845131955346,9.52630085686876,10.6061722983254,9.37220154707173,10.5962521746763,10.5120600906326,11.3135383901081,12.421945219002,12.2262711413737,11.8432129356174,10.9876259657988,11.873255951621
"CEACAM8",7.10493998630448,5.71537024646593,5.40581162151969,5.85285620769239,5.87554176648433,8.13305246088104,6.97788373538611,9.28359418408946,5.97803678065024,8.26923678121322,8.37195518536009,8.04134590283886,7.29397288805303,7.94749144351671,7.05819128433846
"HTN1",5.51178746116776,4.49385930039617,4.9843538395604,4.73639503339893,4.50039775807676,5.72629472508336,5.639468133631,5.49779248267168,5.8453943607923,6.06953622673116,6.2354158887881,6.33418865180715,6.43060570783047,6.83918803061306,6.72902295010119
"GCM1",3.24053827812802,3.24053827812802,3.24053827812802,3.24053827812802,3.24053827812802,4.02973903848895,4.24652010674988,4.56117128811085,4.43413244003062,4.63385912648004,5.99052201120189,5.65439675593696,5.12363380426687,4.33222366815821,4.99995637927728
"GAREM1",3.24053827812802,7.3549600773086,5.79002916183922,3.90369110878379,4.43216494767657,3.24053827812802,3.24053827812802,3.70836681235647,3.71814797719356,3.81672525748931,3.60745521455194,3.61260629513718,4.1306715415663,5.0387881379071,3.89126060574845
"ITGA9",5.72859592363518,4.88587410963167,4.82547353637459,5.17534878519859,4.46783098295469,6.73889362327477,5.82972124393927,6.87852056103515,5.97679820831763,6.02120946866572,7.27219530227007,6.20660778880417,6.74848430798144,6.95911956103906,5.48980513202566
"STAR",3.92032837436133,3.24053827812802,3.71043633126018,4.3597120928102,4.30899738995106,5.55711429773786,4.58407807185892,5.46967684208171,4.86271092820785,4.58905486026541,5.34078602289999,5.53649087571437,5.67105586579288,5.86931262383357,5.65433115899779
"CCDC175",6.00425359687013,6.65045248000786,7.16219151094617,7.3523365314385,5.97222721389111,5.35463735400718,4.57681680928772,5.34076078304801,5.84975951123862,4.5200869495689,3.24053827812802,4.42949972303213,3.82630358077178,4.53392267667158,3.99174434746644
"GPATCH11",7.51663655837081,7.15081017657972,6.79729014176239,7.35357618969642,6.63964315251865,8.32520291275198,7.68397921068245,7.79226082084048,7.67166713723735,8.62398505122842,8.2670220153975,8.57480238012969,8.9087374656397,9.14338054829306,8.62082952343024
"SEPTIN14",5.21374773990458,4.91553292180457,5.15520310558768,5.3176427257313,4.43227587698654,6.33184591483998,5.51391672479082,5.80544391514311,5.98912731448168,7.39310039972379,6.57264809571311,6.88035639906833,6.19626781771094,6.49951059524379,6.97467795227996
"B4GALT5",9.84906639820926,9.54678333270357,9.32592558648586,9.4094315531161,9.29622031418687,10.4154075106609,9.59578884690906,10.7751261553137,10.5517706785752,11.0414631532605,11.9363760597983,11.5023198948875,11.5064677755002,10.4452569740492,11.556307464174
"ZNF704",3.93731317133043,7.8456809189486,4.00011446657578,8.98744087100344,3.97396889636889,4.07110413423023,3.24053827812802,3.74715289924998,3.54044417925061,4.11679327740495,3.80118759339623,3.9711358915399,4.34595743203961,6.28371784820755,3.98241031614765
"ZBTB43",7.46821676895454,7.91162790044822,7.41594742488177,7.47398643646664,7.37621791358602,9.20454664994742,10.0188715348076,8.78150445041043,8.0442598025806,8.39532184664139,9.72725960090754,9.97690311418055,9.89354859919379,9.41663095166838,9.69358983806099
"CHD3",10.1432481828533,9.90599581140263,11.0467882849593,10.3835200577683,10.5152425573257,11.5386044433206,10.8059084532212,11.1795108401753,10.9756810870036,12.3768394335897,12.47843909006,12.6974886220208,12.2448021068075,12.4310425477612,12.5255585260645
"NPAS2",3.89346054128047,3.92263488563263,4.89101488193116,3.92380368315032,3.9653538802165,6.12061523236833,4.16026047269684,5.62975532699242,5.0373566166706,6.3499471124635,6.36330321621584,6.62248417503843,4.79533126978523,6.31934981964639,5.31344708243731
"DRC3",6.48883536214059,5.69377875041593,3.40327223345388,3.68352869335502,7.42217272417769,3.24053827812802,3.24053827812802,3.24053827812802,4.374561820633,3.70856848223098,4.23451556679917,4.35327429837528,4.9254916810962,4.56593063405584,4.53877828419852
"CADM2",3.24053827812802,3.24053827812802,3.24053827812802,3.24053827812802,3.7347964201058,4.62995751199897,5.05102506360419,6.00892317159332,3.47840285691344,5.29363432272713,3.24053827812802,3.24053827812802,3.24053827812802,3.4960056536368,3.24053827812802
"C2orf69",7.42787333270721,7.72960859251026,7.48565833807961,7.31939367454817,6.71019976243501,8.33698483874698,8.28715604739012,8.29490402830663,7.9897260866711,8.7452827803775,7.59324521712592,7.83279602884759,8.42744768207652,8.33880880626092,8.45704432490851
"CPNE7",4.43972202552427,3.84199782418989,4.77220085460717,5.87080568372825,5.7006436826808,3.24053827812802,3.24053827812802,3.94758924380794,3.81529042454488,4.08174681923342,3.52095706862406,4.22874501979634,3.86503003641248,4.38028472485199,4.2097063123934
"TSHZ2",6.80278082491564,7.80207419197449,7.76000332555846,7.37160984481546,7.72155135745159,8.47405398377309,9.44570052187776,9.20277979651416,8.15647045245376,8.77129866125719,8.90928651781854,9.54458522808718,9.05789597418825,9.58031142473308,8.34595177013675
"ZNF774",3.86540362492535,3.24053827812802,3.87215419929704,3.58674475209317,3.68986239447222,4.72368338831402,4.52636368939675,4.62999260375686,5.08692600024844,5.16903682849663,4.78172400058829,4.96243677427763,5.38938708422419,5.71595298663124,4.53459453426643
"SVIL",9.11857481528422,8.9101013877374,9.43684961547276,9.3503391383428,9.26854652652591,10.3319543043973,9.91849406972313,10.4247459068295,9.91654514884321,11.0701463889094,11.7683191199227,11.8966191840456,11.775713566144,10.8740073679461,11.7957418963567
"KLHL14",6.59653085003118,6.46215798551098,6.77358837257347,6.9401993906791,7.75849876361536,7.25052138820845,8.41635604188174,9.86584508014557,8.6377513710207,7.43577423457374,5.14485185157737,6.44648744832869,6.93390910641551,6.75895539484936,6.27085070656337
"BZW1P2",3.24053827812802,3.24053827812802,3.24053827812802,3.24053827812802,7.69011742885416,3.24053827812802,3.24053827812802,3.24053827812802,3.24053827812802,3.24053827812802,8.27690718180886,7.66243852875515,8.37488110270994,6.98375929937027,7.22855767721876
"UNC13B",5.84922231554728,6.60442517282009,5.67355920322136,6.85774669970542,5.40090195084079,7.72294974498129,8.13927084607421,8.4924319726106,5.70808847739062,6.99996069986667,5.87184545122573,5.62668621606053,5.8809839547443,5.19987160888256,5.41518758874248
"C6orf136",7.99226881832522,8.22379801062662,7.87113644685256,7.60006626862158,8.20600520076959,6.86423949917228,7.70190310330254,6.42704425783938,7.21408992046077,6.82107208281727,6.81208542761574,6.2631938102691,6.48787861089971,6.27910651085191,6.41949997965027
"C2orf91",3.68307173135987,4.3340367057007,3.87072171869874,4.45207840331506,3.84897456496081,5.23956041836243,4.96401828110686,5.05160219129869,5.46936541650962,4.96842452911781,5.8503261694361,6.26812197411418,6.39080032228384,6.57083036082241,6.41093055527207
"CDKL4",4.46740380948915,5.04348364543726,5.70182406202357,5.95135801114018,4.86226533073734,3.92472868962139,3.24053827812802,3.24053827812802,3.80010239636815,3.91403591516698,3.67208643037302,3.59846115354106,3.84812011615504,3.98085669282556,3.68506043460937
"LINC00205",7.07673218245485,6.81144804624396,7.19679829994894,6.89511443677463,6.42290218356371,7.84257111370488,7.33411664378694,9.07493219996438,8.18539536676293,8.49955937392085,7.57574599397119,8.83988199402957,7.94785392598977,7.57258001703335,7.74756602841757
"CFL1P1",3.46135248121436,3.87832060641537,3.55589398854053,4.14842451487226,3.24053827812802,4.58497520268352,4.03747253114439,4.98212737881958,4.06501392935408,5.2373157576428,4.5880442469216,5.37082745543743,4.55954581313203,5.52354560371531,4.86979558910499
"LINC00343",6.48623765345327,6.20302604967544,6.71584076073157,6.32934582041484,6.6678820850615,8.09955912094513,6.199887092379,7.43827671278167,7.43432140786714,8.10173205714024,8.53356989895615,8.98017445469008,9.3097759680974,9.29306515113317,9.83142074809137
"",3.24053827812802,4.13998665243651,3.68836241674518,3.24053827812802,4.50228727886772,4.93829534174046,4.52136060272914,5.19108655823512,4.98689135532033,5.04466126727081,5.39925866251272,6.20821277732758,5.37336054051468,5.72309323075018,6.03036227861671
"MTND5P2",3.24053827812802,4.62900351725561,4.12436662325709,3.24053827812802,3.98298053699721,5.07990397263065,4.45710864181428,5.571087638801,5.32260429968407,5.25934938716239,5.39616050375705,5.5491939349547,5.75582071760875,5.87357786364866,5.94130524988319
"SOS1-IT1",5.03766789105742,5.05053862849459,4.38819768328317,5.25549323789533,5.59541296721939,6.55492111090708,5.85195308914223,6.73672724493942,5.72610213041878,6.32101904275621,6.3205256682365,6.2040928017964,6.77621769460259,6.33250404754438,6.80768867018675
"XIST",4.05512010735902,4.42348720721402,13.4937247847734,4.47275757014784,12.6728281625642,5.02026423073343,3.8019514775803,5.0465305492963,5.17608716024312,4.62497934637943,5.26907331527326,13.816341300489,4.77282006986322,4.99249919303018,5.57689401378454
"LEF1-AS1",5.26583217847881,5.91982918711545,6.91984297049816,5.9335753421859,5.25958148184401,6.99371400665467,7.39622688895423,7.97650172016352,6.72031009796833,7.11063102326859,6.59654608580521,6.91945446433867,7.14221662893804,7.68719273770598,7.13427743073814
"",7.71204241089033,7.41164361574907,7.52243859404171,7.84088862056235,8.04602031239606,9.13439580476948,8.25869218888619,8.20318121973868,8.4144741614804,9.2424029494622,9.80720445048339,10.2113039759717,10.5716933957365,10.794970349805,11.0107187020817
"PTGES3P1",3.24053827812802,3.24053827812802,4.31175342171283,3.89987605368043,3.24053827812802,4.74271871756273,4.30238623394563,5.23453790958913,5.22301989988549,5.10780487982108,5.51040160889546,4.93325228390549,4.66177772427855,4.63695433816091,6.07523936083206
"NSRP1P1",4.11537429068058,3.24053827812802,3.24053827812802,3.70980326658428,3.24053827812802,4.42942446208795,4.16057660334556,4.86262662744429,4.34861888080898,4.81032805491014,5.93558900557688,5.69110454382561,6.04499078626942,6.32998146903218,6.38930403304215
"",4.65528141198231,3.24053827812802,4.31363764072901,4.04563102095581,3.67212298021828,5.33898823929152,4.98761945814563,4.827183081943,4.82051582611137,5.45515119365227,6.27593150905071,6.21356177531087,6.34538329700895,6.26887896739052,6.97296154290724
"CPHL1P",4.99971281575372,4.27464153540664,3.64629481989675,5.04052792366796,5.50857437737923,3.24053827812802,3.24053827812802,3.24053827812802,3.75325893951417,3.24053827812802,3.24053827812802,4.74340044440075,3.56362909729962,4.82273018660937,3.81275051597048
"",5.41946549900571,5.43655400009922,5.82455162098485,4.96206045213992,6.02911523231789,6.73934893917887,5.85201109543711,5.98330563021863,6.45851784847347,7.24379762986689,8.6223082843887,8.1949457108744,8.00314496642158,8.16348064876329,8.3188475703804
"SELENOP",6.81829033603888,6.39586231269486,6.01295699940104,4.96047453841684,6.37502052463353,4.52857498110116,4.93434022729844,4.31588198297567,5.44570399915616,4.76756053415908,4.91982328217512,4.58996785872491,4.24879918849474,4.94936855702009,5.37071572926561
"TMEM30BP1",4.38516861268405,3.24053827812802,4.12413614434219,4.36599352170564,3.24053827812802,5.16797003708173,5.2758606389756,4.69862299024995,5.03067008973845,5.46726617305974,6.06729021198297,6.18153044495901,5.00889128546673,5.30704656467538,5.57192726367794
"",7.01968493445684,6.91007385221059,7.05250519070808,7.30668932755018,6.957260938726,8.26723080141038,7.55151864254112,7.71700779015869,7.7280076575639,8.46433300926065,8.58204385257672,8.97725231982579,9.50826551104459,9.66566889363549,10.0276021168569
"",5.59716338569001,6.0571315222061,5.91632951219699,5.92585264811261,6.60458047014918,7.564724646065,6.81633711944783,6.32679081225586,6.92906669940648,7.39840842897345,8.31214859068709,8.43280104443709,8.7458235363859,8.83999126789505,9.07843197060771
"",4.71242639743697,4.2304817621557,4.1230683788093,4.52764093310182,4.67160720031763,5.21682352972423,4.22069453011356,5.91394447780443,5.37152472817644,6.13034767784837,7.87690797676579,8.44197996175872,7.5970186400183,6.83767727515583,7.92304815849483
"EBLN2",6.86678480964671,6.10333473935506,6.40401286480181,6.71203247679755,6.48480756936894,7.47224015798959,7.34966660585196,7.70722430562138,6.9609228381489,7.79213574901719,8.09975331870661,8.03612230611774,7.83682085618815,7.84161096579415,7.83000828703422
"Metazoa_SRP",3.87353793176701,4.01811496566561,3.69382353864285,3.24053827812802,3.97930290666958,5.20265720697948,4.6097213401306,4.58191783308119,4.51793991409828,4.24748281550392,4.96271392173427,5.42961784752842,5.43144561996719,5.26265073057207,5.43422696475656
"LINC02328",8.55608299514537,8.87646725538044,8.60844950356418,8.3982772570457,8.69428552659249,7.93182414310076,8.1399386267634,6.95848727537282,7.84016623227819,7.05672259166105,6.49249037763528,7.0939835590754,7.22797656915528,6.84975222976775,7.4259827975868
"LINC00562",4.82235485385235,4.56459086199353,4.98417484799244,5.06119525606846,5.52240961853043,6.14672175193629,5.6850826110366,6.19757121267007,5.5648044769562,5.79097890283207,6.27936905504458,6.89624553373975,6.87870366568373,7.09174129661497,7.13457696082203
"LCMT1-AS1",5.12330357062318,4.32430327977379,5.54118828241166,3.96744588566543,4.54627039065133,5.64666878594708,6.37655025482489,5.88094406257179,5.92459645514027,6.29182559048055,6.9656614604403,6.59042074569726,6.9791300705674,7.10431180424224,6.59781045540773
"LINC02175",6.37178819364883,5.28759758931126,5.76441884641646,6.32898390401433,6.03340272931862,7.36666105193565,6.58239426292361,7.38054855584786,7.07347160647325,6.59530909076644,7.57665257687935,7.42242635841263,7.62921300559807,7.70394761663157,7.22748340222598
"",4.7697003230584,5.22378188349261,4.12479461072307,5.7711349688879,5.62978890835109,5.45898403138396,6.60965817970087,6.48780208961948,6.71485215827381,6.88286342170068,7.12150469742111,6.39912287127699,6.72729197114885,5.74492506929551,7.09622740287609
"SH3GL1P1",5.66207086527762,4.84360206819141,5.21439691854042,5.85127434627134,5.95246092507359,6.7071226126884,6.14803807665071,6.49626382581417,5.86059971871165,7.06857469572564,7.43427155993196,7.5358273633247,7.0145923901107,7.40241710072642,7.45216609712874
"",4.65595195776994,5.58779770196345,4.98229021210013,6.02020841841234,5.77615579439174,6.68563949694052,6.15053883741878,6.49916505233023,6.93672253518173,9.55849587763553,9.75917784356527,9.17864240506201,8.44699116843578,7.38212338427581,8.86030896859692
"CTAGE15",3.24053827812802,3.24053827812802,3.24053827812802,3.24053827812802,3.24053827812802,3.24053827812802,3.24053827812802,5.21980271525853,4.98801055529071,5.0144726867473,4.89348803288151,4.71020611638289,5.07060535534977,5.50207669305054,5.22049424792337
"CD24",8.12543560575507,7.52401764203034,6.72816076556852,7.48027938485302,7.6913203533215,8.94303694521439,8.1162478703021,10.4092296649431,8.34419822676178,9.18700676270122,8.27575020536006,7.69951707735342,7.96992870617616,8.21232451192799,7.80159573732538
"",4.76975152524476,5.18474140139536,5.0726529766987,5.49794258392601,5.27719628943128,6.0414877805459,5.51324208506059,6.37316594928501,5.86983697302485,5.84210712544243,7.2588520102172,7.21807976680684,6.54284209572288,7.00326724219096,6.98869799135577
"LINC02019",4.5645060039339,4.11864788913397,5.0932711700893,4.7054118913807,4.94985171808263,5.81421517618436,6.11143783529428,5.39195714021437,6.16282087504081,6.43786452795083,6.72034573602296,6.79595828032678,6.20324892643372,6.41149314159663,6.41119075632838
"",4.30358076903029,3.24053827812802,4.00793169740742,4.0456614586603,3.24053827812802,4.99691833076268,5.16967472935556,4.42921124370775,4.24987981961403,4.85108488047808,5.58698139048982,5.86330380716965,5.53935489195083,5.82887137600102,5.71724983849563
"",5.53134526874304,5.85848297406338,6.76701402035385,6.4969638593183,5.40611292785871,7.55132125370216,9.10329186453905,6.50027912081798,6.52776818322303,7.94224648530065,7.2914098169342,8.5332211211627,8.48319352230375,8.60355158586191,8.3067462533291
"",4.71370652118242,4.6859606921623,4.83539905214485,4.79571041329054,4.78688935273269,5.75964279637716,6.09243054511698,5.43629184546244,5.38275825280097,5.12447559057228,5.16810422193808,4.79458725491664,4.93877749815325,5.13408244281887,4.80306352897232
"BACE1-AS",6.31978772036961,5.37587292942956,5.8727147183328,6.57246974959697,6.71125228903162,7.10000659091213,7.15839503079528,6.88358183380031,7.04331059367668,7.50406726089204,8.04060361932034,7.86825651098411,7.97896857848288,8.16749370176221,8.23625892370834
"",5.89530563423884,5.93115111783739,5.64619062502241,5.56345481177223,5.82181001958016,7.55611997158335,6.39012616114993,7.10447176018363,6.61548378772217,6.89257285098942,7.75149182963923,8.58003340694826,8.27980621244406,8.36486734890681,8.39433318537737
"LINC02033",4.40041639267279,4.22412109112365,5.23474968968488,5.19840170799104,5.23871266412964,6.20224354718437,4.45459648587626,6.25004965223031,6.81576446160902,6.58409121562121,7.80616511072122,7.26551951850495,7.05052465140999,7.37864323003107,7.86697823184659
"",3.68283504984654,4.41114923487095,4.31399707009494,4.36565527404488,4.19223742702357,5.57942310064258,5.0993080795525,5.28596622731311,4.92632745784166,5.24644025663677,6.21004635053417,6.23876523426105,5.97351648801375,5.86286361497551,5.88085952464451
"",7.01510515267493,7.01362606796557,6.96996129494996,6.78068010576024,7.29813965483734,8.0180774575729,7.64647447158509,8.21809025586912,7.17512160330696,8.63613633363308,8.57186886669706,8.66855019488894,9.10424578807986,9.07303665764256,8.59027860625333
"",3.24053827812802,3.24053827812802,3.24053827812802,3.24053827812802,3.24053827812802,3.24053827812802,5.5210990222599,3.24053827812802,4.25335273602353,5.37469027682113,5.01278021300562,5.09395801141857,4.69943560437988,4.82080392918655,4.46915179482323
"",4.92103103129731,4.5653958440208,5.59102939047816,5.35583675819865,5.75296058160824,6.77733264427148,5.95946043922442,6.09560125366154,6.14069992095756,6.37057439964636,6.53704097097695,7.29517592578602,7.68153002653756,7.72865053375586,7.97054111028912
"",4.71456889017851,4.86400287956647,4.5432698866414,5.01291312384996,4.27960398398061,5.52153495739442,5.79732273147158,5.67472092676565,5.5657415778203,5.37634971013786,4.82981186321113,5.29173537917715,5.63073293893163,5.4627077595032,5.81864882052861
"",4.2152289970695,4.56391901826569,4.54296032226894,4.85475427355017,4.50039256183459,5.11957663206682,5.51049788889034,5.29896241144127,5.8169284302319,5.59683116014393,5.6595160001583,4.85285644178431,5.35667458589458,5.57878587824135,5.61051720903955
